Column1,Column2,Column3,Column4,Column6
ACW00011604,171167,-617833,101,ST JOHNS COOLIDGE FLD         
ACW00011647,171333,-617833,192,ST JOHNS                      
AE000041196,253330,555170,340,SHARJAH INTER. AIRP           
AEM00041194,252550,553640,104,DUBAI INTL                    
AEM00041217,244330,546510,268,ABU DHABI INTL                
AEM00041218,242620,556090,2649,AL AIN INTL                   
AF000040930,353170,690170,33660,NORTH-SALANG                  
AFM00040938,342100,622280,9772,HERAT                         
AFM00040948,345660,692120,17913,KABUL INTL                    
AFM00040990,315000,658500,10100,KANDAHAR AIRPORT              
AG000060390,367167,32500,240,ALGER-DAR EL BEIDA            
AG000060590,305667,28667,3970,EL-GOLEA                      
AG000060611,280500,96331,5610,IN-AMENAS                     
AG000060680,228000,54331,13620,TAMANRASSET                   
AGE00135039,357297,6500,500,ORAN-HOPITAL MILITAIRE        
AGE00147704,369700,77900,1610,ANNABA-CAP DE GARDE           
AGE00147705,367800,30700,590,ALGIERS-VILLE/UNIVERSITE      
AGE00147706,368000,30300,3440,ALGIERS-BOUZAREAH             
AGE00147707,368000,30400,380,ALGIERS-CAP CAXINE            
AGE00147708,367200,40500,2220,TIZI OUZOU                    
AGE00147709,366300,42000,9420,FORT NATIONAL                 
AGE00147710,367500,51000,90,BEJAIA-BOUGIE (PORT)          
AGE00147711,363697,66200,6600,CONSTANTINE                   
AGE00147712,361700,13400,1120,ORLEANSVILLE (CHLEF)          
AGE00147713,361800,54000,10810,SETIF                         
AGE00147714,357700,8000,780,ORAN-CAP FALCON               
AGE00147715,354200,81197,8630,TEBESSA                       
AGE00147716,351000,-18500,830,NEMOURS (GHAZAOUET)           
AGE00147717,352000,6300,4760,SIDI-BEL-ABBES                
AGE00147718,348500,57200,1250,BISKRA                        
AGE00147719,337997,28900,7670,LAGHOUAT                      
AGE00147720,336800,10000,13200,GERYVILLE (EL-BAYADH)         
AGE00147780,370800,64700,1950,SKIKDA-CAP BOUGAROUNI         
AGE00147794,367800,51000,2250,BEJAIA-CAP CARBON             
AGM00060351,367950,58740,110,JIJEL                         
AGM00060353,368170,58830,60,JIJEL-PORT                    
AGM00060355,369330,69500,70,SKIKDA                        
AGM00060360,368220,78090,49,ANNABA                        
AGM00060367,369000,84500,130,EL-KALA                       
AGM00060369,367670,31000,120,ALGER-PORT                    
AGM00060387,369170,39500,80,DELLYS                        
AGM00060402,367120,50700,61,SOUMMAM                       
AGM00060403,364670,74670,2280,GUELMA                        
AGM00060405,365000,77170,1110,BOUCHEGOUF                    
AGM00060410,365000,13330,180,TENES                         
AGM00060415,363170,35330,7480,AIN-BESSAM                    
AGM00060417,363830,38830,5600,BOUIRA                        
AGM00060419,362760,66200,6904,MOHAMED BOUDIAF INTL          
AGM00060421,358670,71170,8910,OUM EL BOUAGHI                
AGM00060423,362830,79670,6800,SOUK AHRAS                    
AGM00060425,362130,13320,1411,ECH CHELIFF                   
AGM00060430,363000,22330,7210,MILIANA                       
AGM00060437,362830,27330,10360,MEDEA                         
AGM00060444,360670,47670,9300,BORDJ-BOU-ARRERIDJ            
AGM00060445,361780,53240,10500,SETIF AIN ARNAT               
AGM00060452,358170,-2670,40,ARZEW                         
AGM00060457,358830,1170,1380,MOSTAGANEM                    
AGM00060461,357000,-6500,220,ORAN-PORT                     
AGM00060467,356670,45000,4420,M'SILA                        
AGM00060468,355500,61830,10520,BATNA                         
AGM00060471,353330,53330,4610,BARIKA                        
AGM00060475,354320,81210,8111,CHEIKH LARBI TEBESSI          
AGM00060476,354670,70830,9870,KHENCHELLA                    
AGM00060490,356240,-6210,899,ES SENIA                      
AGM00060506,356000,3000,4760,MASCARA-MATEMORE              
AGM00060507,352080,1470,5139,GHRISS                        
AGM00060511,353410,14630,9891,BOU CHEKIF                    
AGM00060514,351670,23170,8010,KSAR CHELLALA                 
AGM00060515,353330,42060,4590,BOU SAADA                     
AGM00060518,353000,-13500,700,BENI-SAF                      
AGM00060520,352000,-6170,4760,SIDI-BEL-ABBES                
AGM00060522,348200,-17700,4260,MAGHNIA                       
AGM00060531,350170,-14500,2481,ZENATA                        
AGM00060535,346830,32500,11440,DJELFA/TLETSI                 
AGM00060536,348670,1500,7520,SAIDA                         
AGM00060540,341500,670,10010,EL-KHEITER                    
AGM00060549,335360,-2420,11750,MECHERIA                      
AGM00060550,336670,10000,13470,EL-BAYADH                     
AGM00060555,330680,60890,850,SIDI MAHDI                    
AGM00060557,332670,-3000,11660,NAAMA                         
AGM00060559,335110,67770,619,GUEMAR                        
AGM00060560,327670,-6000,10590,AIN-SEFRA                     
AGM00060563,329330,32830,7640,HASSIR'MEL                    
AGM00060566,323840,37940,4609,NOUMERAT                      
AGM00060571,316460,-22700,8111,BECHAR                        
AGM00060580,319170,54130,1500,OUARGLA                       
AGM00060581,316730,61400,1411,OUED IRARA                    
AGM00060602,301330,-21670,5050,BENI-ABBES                    
AGM00060603,297170,67000,2520,RHOURD NOUSS                  
AGM00060607,292370,2760,3130,TIMIMOUN                      
AGM00060620,278380,-1860,2801,TOUAT CHEIKH SIDI MOHAMED BEL 
AGM00060630,272330,25000,2690,IN-SALAH                      
AGM00060640,267240,86230,5419,ILLIZI TAKHAMALT              
AGM00060656,277000,-81670,4429,TINDOUF                       
AGM00060670,242930,94520,9680,TISKA                         
AGM00060686,213330,9500,3990,BORDJ-BADJ-MOKHTAR            
AGM00060690,195670,57670,4010,IN-GUEZZAM                    
AJ000037575,415500,466670,4900,ZAKATALA                      
AJ000037579,417000,468000,17460,ALIBEK                        
AJ000037605,413000,456000,4400,BOGDANOVKA                    
AJ000037636,413000,455000,4040,DJEYRANCELSKAJ-STEP'          
AJ000037639,411330,454170,3330,AGSTAPHA AIRPORT              
AJ000037656,412000,468000,4030,ADJINAURSKAYA_STEP'           
AJ000037661,412170,471670,6410,SHAKI                         
AJ000037668,411000,475000,5830,VARTASHEN                     
AJ000037673,415000,488000,270,HACMAS                        
AJ000037674,412000,482000,9990,KRIC                          
AJ000037675,413670,485170,5520,GUBA                          
AJ000037679,411000,492000,-260,SIASAN'                       
AJ000037729,407000,458000,14760,KEDABEK                       
AJ000037734,408000,460000,4040,SHAMHOR                       
AJ000037735,407167,464167,3110,GANCA                         
AJ000037740,409830,478670,6820,QABALA                        
AJ000037742,409000,473000,3130,ORDJONIKIDZE
AJ000037744,407670,470500,940,MINGACHEVIR                   
AJ000037747,406170,471500,150,EVLAKH AIRPORT                
AJ000037749,406500,477500,950,GOYCHAY                       
AJ000037753,408670,489330,10820,ALTIAGACH                     
AJ000037756,405330,489330,7550,MARAZA                        
AJ000037759,406330,486330,8920,SHAMAKHY                      
AJ000037769,406000,496330,-190,SUMGAIT                       
AJ000037813,403000,459000,120,GEYGEL'                       
AJ000037816,405000,461000,16550,DASHKESAN                     
AJ000037825,404000,463000,16120,GEYGEL'-KURORT                
AJ000037831,404000,470000,1600,MIR-BASHIR                    
AJ000037832,404000,471000,690,BARDA                         
AJ000037835,402000,477000,-50,ZARDOB                        
AJ000037844,403330,481670,40,KURDAMIR                      
AJ000037849,400170,489170,-50,GAZIMAMMAD AERODROM           
AJ000037850,404000,498000,470,BAKU                          
AJ000037860,405330,500000,280,MASHTAGA                      
AJ000037861,402000,509000,-150,NEFT'JNIE                     
AJ000037866,404670,503170,-240,PIRALLAHI                     
AJ000037869,403000,506000,-170,JILOY
AJ000037883,399000,459000,20640,ISTISU                        
AJ000037888,395000,458000,32820,SISIANSKIY
AJ000037893,399000,469000,3520,AGDAM                         
